Match_ID,Team_1,Team_2,Winner,Category,Margin,Ground,Match_date,Season
1,4,5,5,Winner,"8 wickets","Dubai (DSC)",4-Feb-16,1
2,6,2,6,Winner,"7 wickets","Dubai (DSC)",5-Feb-16,1
3,3,4,3,Winner,"24 runs","Dubai (DSC)",5-Feb-16,1
4,5,6,5,Winner,"8 wickets","Dubai (DSC)",6-Feb-16,1
5,2,3,3,Winner,"9 wickets","Dubai (DSC)",6-Feb-16,1
6,4,6,4,Winner,"2 runs","Dubai (DSC)",7-Feb-16,1
7,5,3,5,Winner,"3 wickets","Dubai (DSC)",7-Feb-16,1
8,2,5,2,Winner,"63 runs","Dubai (DSC)",8-Feb-16,1
9,4,2,4,Winner,"8 wickets",Sharjah,10-Feb-16,1
10,6,3,3,Winner,"3 runs",Sharjah,11-Feb-16,1
11,4,5,5,Winner,"7 wickets",Sharjah,11-Feb-16,1
12,6,2,6,Winner,"27 runs",Sharjah,12-Feb-16,1
13,4,3,3,Winner,"7 wickets",Sharjah,12-Feb-16,1
14,6,5,5,Winner,"5 wickets",Sharjah,13-Feb-16,1
15,2,3,2,Winner,"4 runs",Sharjah,13-Feb-16,1
16,4,6,4,Winner,"5 wickets",Sharjah,14-Feb-16,1
17,5,3,3,Winner,"8 wickets",Sharjah,14-Feb-16,1
18,2,5,5,Winner,"2 wickets","Dubai (DSC)",16-Feb-16,1
19,6,3,3,Winner,"5 wickets","Dubai (DSC)",17-Feb-16,1
20,4,2,4,Winner,"5 wickets","Dubai (DSC)",17-Feb-16,1
21,3,5,5,Winner,"1 run","Dubai (DSC)",19-Feb-16,1
22,4,6,4,Winner,"9 wickets","Dubai (DSC)",20-Feb-16,1
23,4,3,4,Winner,"50 runs","Dubai (DSC)",21-Feb-16,1
24,4,5,4,Winner,"6 wickets","Dubai (DSC)",23-Feb-16,1
25,4,3,4,Winner,"7 wickets","Dubai (DSC)",9-Feb-17,2
26,2,5,5,Winner,"8 runs","Dubai (DSC)",10-Feb-17,2
27,6,3,3,Winner,"7 wickets","Dubai (DSC)",10-Feb-17,2
28,4,2,2,Winner,"6 wickets","Dubai (DSC)",11-Feb-17,2
29,6,5,5,Winner,"7 wickets","Dubai (DSC)",11-Feb-17,2
30,2,3,3,Winner,"3 wickets","Dubai (DSC)",12-Feb-17,2
31,4,5,4,Winner,"5 wickets",Sharjah,15-Feb-17,2
32,6,2,2,Winner,"7 runs",Sharjah,16-Feb-17,2
34,4,6,6,Winner,"8 runs",Sharjah,17-Feb-17,2
35,2,5,5,Winner,"5 wickets",Sharjah,18-Feb-17,2
36,4,3,4,Winner,"5 wickets",Sharjah,18-Feb-17,2
37,6,3,6,Winner,"9 runs",Sharjah,19-Feb-17,2
38,4,2,2,Winner,"1 wicket",Sharjah,20-Feb-17,2
39,6,5,5,Winner,"6 wickets","Dubai (DSC)",23-Feb-17,2
40,2,3,3,Winner,"17 runs","Dubai (DSC)",24-Feb-17,2
41,4,5,4,Winner,"1 run","Dubai (DSC)",24-Feb-17,2
42,6,2,6,Winner,"5 wickets","Dubai (DSC)",25-Feb-17,2
43,3,5,3,Winner,"2 wickets","Dubai (DSC)",25-Feb-17,2
44,4,6,6,Winner,"6 wickets","Dubai (DSC)",26-Feb-17,2
45,3,5,5,Winner,"1 run",Sharjah,28-Feb-17,2
46,4,6,6,Winner,"44 runs",Sharjah,1-Mar-17,2
47,6,3,3,Winner,"24 runs","Dubai (DSC)",3-Mar-17,2
48,3,5,3,Winner,"58 runs",Lahore,5-Mar-17,2
49,3,1,1,Winner,"7 wickets","Dubai (DSC)",22-Feb-18,3
50,6,5,6,Winner,"19 runs","Dubai (DSC)",23-Feb-18,3
51,1,2,1,Winner,"43 runs","Dubai (DSC)",23-Feb-18,3
52,4,3,3,Winner,"34 runs","Dubai (DSC)",24-Feb-18,3
53,5,2,5,Winner,"9 wickets","Dubai (DSC)",24-Feb-18,3
54,1,4,4,Winner,"5 wickets","Dubai (DSC)",25-Feb-18,3
55,6,3,6,Winner,"5 wickets","Dubai (DSC)",25-Feb-18,3
56,6,2,6,Winner,"27 runs","Dubai (DSC)",26-Feb-18,3
57,4,5,5,Winner,"6 wickets",Sharjah,28-Feb-18,3
58,5,3,3,Winner,"5 wickets",Sharjah,1-Mar-18,3
59,1,6,100,"no result",,Sharjah,2-Mar-18,3
60,2,4,101,tied,,Sharjah,2-Mar-18,3
61,1,5,1,Winner,"9 wickets",Sharjah,3-Mar-18,3
62,3,2,3,Winner,"10 wickets",Sharjah,3-Mar-18,3
63,4,6,4,Winner,"8 wickets",Sharjah,4-Mar-18,3
64,3,1,1,Winner,"19 runs","Dubai (DSC)",6-Mar-18,3
65,1,5,5,Winner,"2 wickets","Dubai (DSC)",7-Mar-18,3
66,4,2,4,Winner,"6 wickets","Dubai (DSC)",8-Mar-18,3
67,6,5,5,Winner,"67 runs","Dubai (DSC)",8-Mar-18,3
68,1,2,2,Winner,"6 wickets","Dubai (DSC)",9-Mar-18,3
69,3,4,4,Winner,"26 runs","Dubai (DSC)",9-Mar-18,3
70,1,6,6,Winner,"63 runs","Dubai (DSC)",10-Mar-18,3
71,3,5,5,Winner,"6 wickets","Dubai (DSC)",10-Mar-18,3
72,6,2,101,tied,,"Dubai (DSC)",11-Mar-18,3
73,1,4,4,Winner,"33 runs",Sharjah,13-Mar-18,3
74,5,2,2,Winner,"17 runs",Sharjah,14-Mar-18,3
75,3,6,3,Winner,"44 runs",Sharjah,15-Mar-18,3
76,5,4,4,Winner,"6 wickets",Sharjah,15-Mar-18,3
77,3,2,3,Winner,"7 wickets",Sharjah,16-Mar-18,3
78,4,6,6,Winner,"7 wickets",Sharjah,16-Mar-18,3
79,4,6,4,Winner,"8 wickets","Dubai (DSC)",18-Mar-18,3
80,3,5,3,Winner,"1 run",Lahore,20-Mar-18,3
81,6,3,3,Winner,"13 runs",Lahore,21-Mar-18,3
82,4,3,4,Winner,"3 wickets",Karachi,25-Mar-18,3
83,4,2,4,Winner,"5 wickets","Dubai (DSC)",14-Feb-19,4
84,6,1,6,Winner,"7 runs","Dubai (DSC)",15-Feb-19,4
85,3,5,5,Winner,"6 wickets","Dubai (DSC)",15-Feb-19,4
86,4,1,1,Winner,"5 wickets","Dubai (DSC)",16-Feb-19,4
87,6,2,2,Winner,"22 runs","Dubai (DSC)",16-Feb-19,4
88,4,5,5,Winner,"7 wickets","Dubai (DSC)",17-Feb-19,4
89,2,3,3,Winner,"7 wickets","Dubai (DSC)",17-Feb-19,4
90,1,5,5,Winner,"8 wickets",Sharjah,20-Feb-19,4
91,6,3,3,Winner,"44 runs",Sharjah,21-Feb-19,4
92,2,1,2,Winner,"6 wickets",Sharjah,22-Feb-19,4
93,4,3,4,Winner,"12 runs",Sharjah,22-Feb-19,4
94,2,5,5,Winner,"3 wickets",Sharjah,23-Feb-19,4
95,4,6,4,Winner,"7 wickets",Sharjah,23-Feb-19,4
96,1,3,3,Winner,"5 wickets",Sharjah,24-Feb-19,4
97,6,5,6,Winner,"6 wickets",Sharjah,24-Feb-19,4
98,4,1,1,Winner,"6 wickets","Dubai (DSC)",26-Feb-19,4
99,2,5,2,Winner,"8 wickets","Dubai (DSC)",27-Feb-19,4
100,4,6,4,Winner,"5 wickets","Dubai (DSC)",27-Feb-19,4
101,1,3,3,Winner,"7 wickets","Dubai (DSC)",28-Feb-19,4
102,6,2,6,Winner,"5 wickets","Dubai (DSC)",28-Feb-19,4
103,4,3,3,Winner,"4 wickets","Dubai (DSC)",1-Mar-19,4
104,1,5,5,Winner,"6 wickets","Dubai (DSC)",1-Mar-19,4
105,3,5,5,Winner,"8 wickets","Abu Dhabi",4-Mar-19,4
106,6,1,6,Winner,"5 wickets","Abu Dhabi",4-Mar-19,4
107,2,3,3,Winner,"4 wickets","Abu Dhabi",5-Mar-19,4
108,4,5,5,Winner,"43 runs","Abu Dhabi",5-Mar-19,4
109,2,4,4,Winner,"49 runs",Karachi,9-Mar-19,4
110,6,5,6,Winner,"1 run",Karachi,10-Mar-19,4
111,2,1,1,Winner,"7 wickets",Karachi,11-Mar-19,4
112,6,3,3,Winner,"61 runs",Karachi,11-Mar-19,4
113,3,5,5,Winner,"10 runs",Karachi,13-Mar-19,4
114,4,6,4,Winner,"4 wickets",Karachi,14-Mar-19,4
115,4,3,3,Winner,"48 runs",Karachi,15-Mar-19,4
116,5,3,5,Winner,"8 wickets",Karachi,17-Mar-19,4
117,4,5,5,Winner,"3 wickets",Karachi,20-Feb-20,5
118,6,3,6,Winner,"10 runs",Karachi,21-Feb-20,5
119,2,1,1,Winner,"5 wickets",Lahore,21-Feb-20,5
120,3,5,3,Winner,"6 wickets",Karachi,22-Feb-20,5
121,4,1,4,Winner,"8 wickets",Lahore,22-Feb-20,5
122,6,5,5,Winner,"5 wickets",Karachi,23-Feb-20,5
123,2,4,4,Winner,"1 wicket",Lahore,23-Feb-20,5
124,1,3,1,Winner,"6 wickets",Multan,26-Feb-20,5
125,4,5,5,Winner,"5 wickets",Rawalpindi,27-Feb-20,5
