Player_Id,Name,Role,Batting_style,Bowling_style
1,"Amad Butt","Bowling Allrounder","Right hand Bat","Right arm Fast"
2,"Babar Azam",Batter,"Right hand Bat","Right arm Offbreak"
3,"Samuel Badree",Bowler,"Right hand Bat",Legbreak
4,"Sam Billings ","Wicketkeeper Batter","Right hand Bat",
5,"Brad Haddin ","Wicketkeeper Batter","Right hand Bat",
6,"Imran Khalid",,"Left hand Bat","Slow Left arm Orthodox"
7,"Kamran Ghulam",Allrounder,"Right hand Bat","Slow Left arm Orthodox"
8,"Khalid Latif","Top order Batter","Right hand Bat","Right arm Offbreak"
9,"Misbah-ul-Haq ","Middle order Batter","Right hand Bat",Legbreak
10,"Mohammad Irfan",Bowler,"Right hand Bat","Left arm Fast"
11,"Mohammad Sami",Bowler,"Right hand Bat","Right arm Fast"
12,"Rumman Raees",Bowler,"Right hand Bat","Left arm Medium fast"
13,"Andre Russell",Allrounder,"Right hand Bat","Right arm Fast"
14,"Sharjeel Khan","Opening Batter","Left hand Bat",Legbreak
15,"Umar Amin","Top order Batter","Left hand Bat","Right arm Medium"
16,"Shane Watson",Allrounder,"Right hand Bat","Right arm Fast medium"
17,"Shoaib Malik",Allrounder,"Right hand Bat","Right arm Offbreak"
18,"Bilawal Bhatti",Bowler,"Right hand Bat","Right arm Medium fast"
19,"Ravi Bopara","Batting Allrounder","Right hand Bat","Right arm Medium"
20,"Iftikhar Ahmed","Middle order Batter","Right hand Bat","Right arm Offbreak"
21,"Imad Wasim",Allrounder,"Left hand Bat","Slow Left arm Orthodox"
22,"Mir Hamza",Bowler,"Left hand Bat","Left arm Medium"
23,"Mohammad Amir",Bowler,"Left hand Bat","Left arm Fast medium"
24,"Mushfiqur Rahim","Wicketkeeper Batter","Right hand Bat",
25,"Nauman Anwar","Opening Batter","Right hand Bat","Right arm Medium fast"
26,"Saifullah Bangash","Wicketkeeper Batter","Right hand Bat",
27,"Shakib Al",Allrounder,"Left hand Bat","Slow Left arm Orthodox"
28,"Lendl Simmons","Top order Batter","Right hand Bat","Right arm Medium fast"
29,"Sohail Khan",Bowler,"Right hand Bat","Right arm Fast medium"
30,"Sohail Tanvir",Bowler,"Left hand Bat","Left arm Medium fast"
31,"Usama Mir",Bowler,"Right hand Bat",Legbreak
32,"James Vince",Batter,"Right hand Bat","Right arm Medium"
33,"Adnan Rasool",,"Right hand Bat","Right arm Offbreak"
34,"Azhar Ali","Top order Batter","Right hand Bat",Legbreak
35,"Dwayne Bravo",Allrounder,"Right hand Bat","Right arm Medium"
36,"Kevon Cooper",Allrounder,"Right hand Bat","Right arm Medium"
37,"Cameron Delport","Top order Batter","Left hand Bat","Right arm Medium"
38,"Chris Gayle",Allrounder,"Left hand Bat","Right arm Offbreak"
39,"Hammad Azam","Middle order Batter","Right hand Bat","Right arm Medium"
40,"Mohammad Rizwan ","Wicketkeeper Batter","Right hand Bat",
41,"Mustafizur Rahman",Bowler,"Left hand Bat","Left arm Fast medium"
42,"Naved Yasin","Middle order Batter","Left hand Bat","Slow Left arm Orthodox"
43,"Sohaib Maqsood","Middle order Batter","Right hand Bat","Right arm Offbreak"
44,"Umar Akmal","Middle order Batter","Right hand Bat","Right arm Offbreak"
