Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
1,350,"Aamer Azmat",5,3,0,43,33,No,14.33,34,126.47,0,0,0,6,0,7,2,NULL
2,49,"Aamer Yamin",5,5,1,56,20,No,14,39,143.58,0,0,0,2,4,7,6,NULL
3,277,"Abbas Afridi",5,2,0,6,5,No,3,5,120,0,0,0,1,0,7,1,NULL
4,335,"Abdullah Shafique",11,11,0,251,52,No,22.81,196,128.06,0,1,0,26,8,7,2,NULL
5,344,"Abdul Bangalzai",1,1,0,14,14,No,14,13,107.69,0,0,0,0,1,7,5,NULL
6,206,"Ahsan Ali",8,8,1,250,73,No,35.71,180,138.88,0,3,0,32,6,7,5,NULL
7,1,"Amad Butt",2,2,1,10,9,No,10,7,142.85,0,0,0,1,0,7,3,NULL
8,71,"Anwar Ali",4,2,0,6,5,No,3,10,60,0,0,0,0,0,7,1,NULL
9,259,"Arish Ali",1,1,0,0,0,No,0,1,0,0,0,1,0,0,7,3,NULL
10,233,"Arshad Iqbal",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,NULL
11,345,"Ashir Qureshi",4,1,0,0,0,No,0,1,0,0,0,1,0,0,7,5,NULL
12,313,"Asif Afridi",5,1,0,1,1,No,1,3,33.33,0,0,0,0,0,7,1,NULL
13,85,"Asif Ali",12,11,1,137,28,No,13.7,105,130.47,0,0,0,5,11,7,4,NULL
14,323,"Athar Mahmood",3,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,7,4,NULL
15,14,"Sharjeel Khan",12,11,1,296,85,No,29.6,209,141.62,0,2,1,19,19,7,4,NULL
16,2,"Babar Azam",10,10,1,343,90,Yes,38.11,289,118.68,0,2,0,40,2,7,6,NULL
17,336,"Harry Brook",10,8,3,264,102,Yes,52.8,154,171.42,1,0,0,23,11,7,2,NULL
18,341,"Pat Brown",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,NULL
19,284,"Joe Clarke",8,8,1,174,52,No,24.85,146,119.17,0,1,1,11,6,7,6,NULL
20,328,"Ian Cockbain",3,3,0,47,31,No,15.66,37,127.02,0,0,0,5,1,7,6,NULL
21,260,"Ben Cutting",9,9,2,197,52,Yes,28.14,120,164.16,0,1,1,13,13,7,3,NULL
22,207,"Danish Aziz",3,3,1,36,30,Yes,18,44,81.81,0,0,1,4,0,7,4,NULL
23,288,"Tim David",11,11,4,278,71,No,39.71,143,194.4,0,2,0,20,21,7,1,NULL
24,153,"Liam Dawson",7,7,1,107,31,No,17.83,85,125.88,0,0,0,14,3,7,4,NULL
25,194,"AB de",5,3,2,9,7,Yes,9,12,75,0,0,0,0,0,7,4,NULL
26,86,"Ben Duckett",4,4,0,60,47,No,15,50,120,0,0,1,8,1,7,5,NULL
27,132,"Faheem Ashraf",10,8,4,121,55,No,30.25,68,177.94,0,1,1,12,8,7,4,NULL
28,107,"Fakhar Zaman",13,13,0,588,106,No,45.23,385,152.72,1,7,1,53,20,7,2,NULL
29,289,"James Faulkner",6,3,2,49,30,Yes,49,27,181.48,0,0,0,3,3,7,5,NULL
30,208,"Fawad Ahmed",1,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,7,2,NULL
31,337,"Dean Foxcroft",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,2,NULL
32,109,"Ghulam Mudassar",5,1,0,0,0,No,0,2,0,0,0,1,0,0,7,5,NULL
33,249,"Lewis Gregory",7,7,2,72,27,No,14.4,70,102.85,0,0,0,9,0,7,6,NULL
34,250,"Haider Ali",9,9,2,152,49,No,21.71,131,116.03,0,0,0,15,5,7,3,NULL
35,133,"Alex Hales",9,9,1,355,82,Yes,44.37,241,147.3,0,3,0,43,11,7,4,NULL
36,196,"Haris Rauf",13,4,2,8,7,Yes,4,10,80,0,0,2,0,1,7,2,NULL
37,53,"Hasan Ali",9,4,2,21,12,Yes,10.5,21,100,0,0,0,1,0,7,4,NULL
38,124,"Hassan Khan",2,2,1,20,17,No,20,21,95.23,0,0,0,1,0,7,5,NULL
39,299,"Hazratullah Zazai",7,7,0,170,52,No,24.28,136,125,0,1,1,21,4,7,3,NULL
40,88,"Hussain Talat",9,8,2,177,52,No,29.5,141,125.53,0,2,0,17,3,7,3,NULL
41,20,"Iftikhar Ahmed",10,9,1,138,52,No,17.25,109,126.6,0,1,0,5,7,7,5,NULL
42,352,"Ihsanullah ",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,NULL
43,21,"Imad Wasim",9,8,1,141,55,No,20.14,99,142.42,0,1,2,13,7,7,6,NULL
44,54,"Imran Khan",3,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,NULL
45,265,"Imran Tahir",12,2,0,13,10,No,6.5,16,81.25,0,0,0,2,0,7,1,NULL
46,67,"Chris Jordan",5,5,2,6,5,No,2,7,85.71,0,0,2,1,0,7,6,NULL
47,44,"Umar Akmal",6,6,0,152,58,No,25.33,110,138.18,0,1,0,16,5,7,3,NULL
48,7,"Kamran Ghulam",13,13,1,299,55,Yes,24.91,255,117.25,0,1,1,25,9,7,2,NULL
49,155,"Khalid Usman",2,1,1,19,19,Yes,NULL,11,172.72,0,0,0,2,0,7,3,NULL
50,252,"Khurram Shahzad",2,1,1,0,0,Yes,NULL,2,0,0,0,0,0,0,7,5,NULL
51,119,"Khushdil Shah",12,10,4,153,32,No,25.5,84,182.14,0,0,0,14,10,7,1,NULL
52,303,"Tom Kohler-Cadmore",2,2,0,22,22,No,11,19,115.78,0,0,1,3,1,7,3,NULL
