Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
1,5,1,1,0,3,0,NULL,NULL,3,NULL,0,0,3,0,7,1,"Aamer Azmat",350
2,4,3,5,0,79,2,44949,39.5,15.8,15,0,0,1,0,6,6,"Aamer Yamin",49
3,3,3,8,1,48,3,44974,16,5.87,16.3,0,0,0,0,5,6,"Aamer Yamin",49
4,8,8,28,0,230,6,13575,38.33,8.21,28,0,0,3,0,4,6,"Aamer Yamin",49
5,2,2,3,0,42,0,NULL,NULL,14,NULL,0,0,1,0,3,2,"Aamer Yamin",49
6,2,2,7,0,54,1,44947,54,7.71,42,0,0,0,0,2,3,"Aamer Yamin",49
7,2,2,7,0,54,1,44947,54,7.71,42,0,0,0,0,1,3,"Aamer Yamin",49
8,5,5,11,0,113,1,13150,113,10.27,66,0,0,1,0,7,6,"Aamer Yamin",49
9,4,4,10,0,102,4,44984,25.5,10.2,15,0,0,1,0,6,6,"Abbas Afridi",277
10,1,1,3,0,26,0,NULL,NULL,8.66,NULL,0,0,2,0,5,5,"Abdul Nasir",258
11,3,2,2,0,20,0,NULL,NULL,9.23,NULL,0,0,0,0,4,2,"Agha Salman",190
12,1,1,3,0,28,0,NULL,NULL,9.33,NULL,0,0,1,0,2,3,"Abdur Rehman",50
13,1,1,3,0,28,0,NULL,NULL,9.33,NULL,0,0,1,0,1,3,"Abdur Rehman",50
14,5,5,15,0,127,3,44946,42.33,8.46,30,0,0,0,0,7,1,"Abbas Afridi",277
15,1,1,4,0,15,1,44941,15,3.75,24,0,0,0,0,6,5,"Abdul Nasir",258
16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,3,"Adil Amin",246
17,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,4,5,"Ahmed Shehzad",69
18,8,2,2,0,13,0,NULL,NULL,6.5,NULL,0,0,1,0,3,2,"Agha Salman",190
19,3,2,6,0,67,0,NULL,NULL,11.16,NULL,0,0,0,0,2,2,"Adnan Rasool",33
20,3,2,6,0,67,0,NULL,NULL,11.16,NULL,0,0,0,0,1,2,"Adnan Rasool",33
21,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,7,2,"Abdullah Shafique",335
22,2,2,7,0,62,3,44999,20.66,8.85,14,0,0,0,0,6,3,"Abrar Ahmed",94
23,3,3,8,0,65,4,44974,16.25,8.12,12,0,0,0,0,5,4,"Ahmed Safi",228
24,8,1,1,0,9,1,44935,9,9,6,0,0,5,0,4,5,"Ahsan Ali",206
25,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,3,1,"Ahmed Shehzad",69
26,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,2,5,"Ahmed Shehzad",69
27,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,1,5,"Ahmed Shehzad",69
28,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,5,"Abdul Bangalzai",344
29,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,6,2,"Agha Salman",190
30,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,5,5,"Ahmed Shehzad",69
31,1,1,3,0,32,0,NULL,NULL,10.66,NULL,0,0,0,0,4,2,"Aizaz Cheema",191
32,5,5,13,0,116,5,10990,23.2,8.81,15.8,0,0,1,0,3,4,"Amad Butt",1
33,4,4,14,0,104,6,44971,17.33,7.42,14,0,0,3,0,2,5,"Aizaz Cheema",191
