,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
0,Aamer Azmat,5,3,0,43,33,14.33,34,126.47,0,0,0,6,0,2021/2022,Multan Sultans
1,Aamer Yamin,5,5,1,56,20,14.00,39,143.58,0,0,0,2,4,2021/2022,Karachi Kings
2,Abbas Afridi,5,2,0,6,5,3.00,5,120.00,0,0,0,1,0,2021/2022,Multan Sultans
3,Abdullah Shafique,11,11,0,251,52,22.81,196,128.06,0,1,0,26,8,2021/2022,Lahore Qalandars
4,Abdul Bangalzai,1,1,0,14,14,14.00,13,107.69,0,0,0,0,1,2021/2022,Quetta Gladiators
5,Ahsan Ali,8,8,1,250,73,35.71,180,138.88,0,3,0,32,6,2021/2022,Quetta Gladiators
6,Ali Majid,1,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Peshawar Zalmi
7,Amad Butt,2,2,1,10,9,10.00,7,142.85,0,0,0,1,0,2021/2022,Peshawar Zalmi
8,Anwar Ali,4,2,0,6,5,3.00,10,60.00,0,0,0,0,0,2021/2022,Multan Sultans
9,Arish Ali,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021/2022,Peshawar Zalmi
10,Arshad Iqbal,1,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Peshawar Zalmi
11,Ashir Qureshi,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021/2022,Quetta Gladiators
12,Asif Afridi,5,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2021/2022,Multan Sultans
13,Asif Ali,12,11,1,137,28,13.70,105,130.47,0,0,0,5,11,2021/2022,Islamabad United
14,Athar Mahmood,3,1,1,0,0*,-,0,-,0,0,0,0,0,2021/2022,Islamabad United
15,Azam Khan,12,11,1,296,85,29.60,209,141.62,0,2,1,19,19,2021/2022,Islamabad United
16,Babar Azam,10,10,1,343,90*,38.11,289,118.68,0,2,0,40,2,2021/2022,Karachi Kings
17,HC Brook,10,8,3,264,102*,52.80,154,171.42,1,0,0,23,11,2021/2022,Lahore Qalandars
18,PR Brown,2,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Peshawar Zalmi
19,J Charles,2,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Multan Sultans
20,JM Clarke,8,8,1,174,52,24.85,146,119.17,0,1,1,11,6,2021/2022,Karachi Kings
21,IA Cockbain,3,3,0,47,31,15.66,37,127.02,0,0,0,5,1,2021/2022,Karachi Kings
22,BCJ Cutting,9,9,2,197,52*,28.14,120,164.16,0,1,1,13,13,2021/2022,Peshawar Zalmi
23,Danish Aziz,3,3,1,36,30*,18.00,44,81.81,0,0,1,4,0,2021/2022,Islamabad United
24,TH David,11,11,4,278,71,39.71,143,194.40,0,2,0,20,21,2021/2022,Multan Sultans
25,LA Dawson,7,7,1,107,31,17.83,85,125.88,0,0,0,14,3,2021/2022,Islamabad United
26,M de Lange,5,3,2,9,7*,9.00,12,75.00,0,0,0,0,0,2021/2022,Islamabad United
27,BM Duckett,4,4,0,60,47,15.00,50,120.00,0,0,1,8,1,2021/2022,Quetta Gladiators
28,BR Dunk,2,1,0,9,9,9.00,11,81.81,0,0,0,0,0,2021/2022,Lahore Qalandars
29,Faheem Ashraf,10,8,4,121,55,30.25,68,177.94,0,1,1,12,8,2021/2022,Islamabad United
30,Fakhar Zaman,13,13,0,588,106,45.23,385,152.72,1,7,1,53,20,2021/2022,Lahore Qalandars
31,JP Faulkner,6,3,2,49,30*,49.00,27,181.48,0,0,0,3,3,2021/2022,Quetta Gladiators
32,Fawad Ahmed,1,1,1,0,0*,-,0,-,0,0,0,0,0,2021/2022,Lahore Qalandars
33,D Foxcroft,1,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Lahore Qalandars
34,Ghulam Mudassar,5,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2021/2022,Quetta Gladiators
35,L Gregory,7,7,2,72,27,14.40,70,102.85,0,0,0,9,0,2021/2022,Karachi Kings
36,Haider Ali,9,9,2,152,49,21.71,131,116.03,0,0,0,15,5,2021/2022,Peshawar Zalmi
37,AD Hales,9,9,1,355,82*,44.37,241,147.30,0,3,0,43,11,2021/2022,Islamabad United
