,Team_1,Team_2,Winner,Margin,Ground,Match_date,Season
0,United,Gladiators,Gladiators,8 wickets,Dubai (DSC),"Feb 4, 2016",2015/2016
1,Kings,Qalandars,Kings,7 wickets,Dubai (DSC),"Feb 5, 2016",2015/2016
2,Zalmi,United,Zalmi,24 runs,Dubai (DSC),"Feb 5, 2016",2015/2016
3,Gladiators,Kings,Gladiators,8 wickets,Dubai (DSC),"Feb 6, 2016",2015/2016
4,Qalandars,Zalmi,Zalmi,9 wickets,Dubai (DSC),"Feb 6, 2016",2015/2016
5,United,Kings,United,2 runs,Dubai (DSC),"Feb 7, 2016",2015/2016
6,Gladiators,Zalmi,Gladiators,3 wickets,Dubai (DSC),"Feb 7, 2016",2015/2016
7,Qalandars,Gladiators,Qalandars,63 runs,Dubai (DSC),"Feb 8, 2016",2015/2016
8,United,Qalandars,United,8 wickets,Sharjah,"Feb 10, 2016",2015/2016
9,Kings,Zalmi,Zalmi,3 runs,Sharjah,"Feb 11, 2016",2015/2016
10,United,Gladiators,Gladiators,7 wickets,Sharjah,"Feb 11, 2016",2015/2016
11,Kings,Qalandars,Kings,27 runs,Sharjah,"Feb 12, 2016",2015/2016
12,United,Zalmi,Zalmi,7 wickets,Sharjah,"Feb 12, 2016",2015/2016
13,Kings,Gladiators,Gladiators,5 wickets,Sharjah,"Feb 13, 2016",2015/2016
14,Qalandars,Zalmi,Qalandars,4 runs,Sharjah,"Feb 13, 2016",2015/2016
15,United,Kings,United,5 wickets,Sharjah,"Feb 14, 2016",2015/2016
16,Gladiators,Zalmi,Zalmi,8 wickets,Sharjah,"Feb 14, 2016",2015/2016
17,Qalandars,Gladiators,Gladiators,2 wickets,Dubai (DSC),"Feb 16, 2016",2015/2016
18,Kings,Zalmi,Zalmi,5 wickets,Dubai (DSC),"Feb 17, 2016",2015/2016
19,United,Qalandars,United,5 wickets,Dubai (DSC),"Feb 17, 2016",2015/2016
20,Zalmi,Gladiators,Gladiators,1 run,Dubai (DSC),"Feb 19, 2016",2015/2016
21,United,Kings,United,9 wickets,Dubai (DSC),"Feb 20, 2016",2015/2016
22,United,Zalmi,United,50 runs,Dubai (DSC),"Feb 21, 2016",2015/2016
23,United,Gladiators,United,6 wickets,Dubai (DSC),"Feb 23, 2016",2015/2016
24,United,Zalmi,United,7 wickets,Dubai (DSC),"Feb 9, 2017",2016/2017
25,Qalandars,Gladiators,Gladiators,8 runs,Dubai (DSC),"Feb 10, 2017",2016/2017
26,Kings,Zalmi,Zalmi,7 wickets,Dubai (DSC),"Feb 10, 2017",2016/2017
27,United,Qalandars,Qalandars,6 wickets,Dubai (DSC),"Feb 11, 2017",2016/2017
28,Kings,Gladiators,Gladiators,7 wickets,Dubai (DSC),"Feb 11, 2017",2016/2017
29,Qalandars,Zalmi,Zalmi,3 wickets,Dubai (DSC),"Feb 12, 2017",2016/2017
30,United,Gladiators,United,5 wickets,Sharjah,"Feb 15, 2017",2016/2017
31,Kings,Qalandars,Qalandars,7 runs,Sharjah,"Feb 16, 2017",2016/2017
32,Zalmi,Gladiators,no result,,Sharjah,"Feb 17, 2017",2016/2017
33,United,Kings,Kings,8 runs,Sharjah,"Feb 17, 2017",2016/2017
34,Qalandars,Gladiators,Gladiators,5 wickets,Sharjah,"Feb 18, 2017",2016/2017
35,United,Zalmi,United,5 wickets,Sharjah,"Feb 18, 2017",2016/2017
36,Kings,Zalmi,Kings,9 runs,Sharjah,"Feb 19, 2017",2016/2017
37,United,Qalandars,Qalandars,1 wicket,Sharjah,"Feb 20, 2017",2016/2017
38,Kings,Gladiators,Gladiators,6 wickets,Dubai (DSC),"Feb 23, 2017",2016/2017
39,Qalandars,Zalmi,Zalmi,17 runs,Dubai (DSC),"Feb 24, 2017",2016/2017
40,United,Gladiators,United,1 run,Dubai (DSC),"Feb 24, 2017",2016/2017
41,Kings,Qalandars,Kings,5 wickets,Dubai (DSC),"Feb 25, 2017",2016/2017
42,Zalmi,Gladiators,Zalmi,2 wickets,Dubai (DSC),"Feb 25, 2017",2016/2017
43,United,Kings,Kings,6 wickets,Dubai (DSC),"Feb 26, 2017",2016/2017
44,Zalmi,Gladiators,Gladiators,1 run,Sharjah,"Feb 28, 2017",2016/2017
45,United,Kings,Kings,44 runs,Sharjah,"Mar 1, 2017",2016/2017
46,Kings,Zalmi,Zalmi,24 runs,Dubai (DSC),"Mar 3, 2017",2016/2017
47,Zalmi,Gladiators,Zalmi,58 runs,Lahore,"Mar 5, 2017",2016/2017
48,Zalmi,Sultans,Sultans,7 wickets,Dubai (DSC),"Feb 22, 2018",2017/2018
49,Kings,Gladiators,Kings,19 runs,Dubai (DSC),"Feb 23, 2018",2017/2018
50,Sultans,Qalandars,Sultans,43 runs,Dubai (DSC),"Feb 23, 2018",2017/2018
51,United,Zalmi,Zalmi,34 runs,Dubai (DSC),"Feb 24, 2018",2017/2018
52,Gladiators,Qalandars,Gladiators,9 wickets,Dubai (DSC),"Feb 24, 2018",2017/2018
53,Sultans,United,United,5 wickets,Dubai (DSC),"Feb 25, 2018",2017/2018
54,Kings,Zalmi,Kings,5 wickets,Dubai (DSC),"Feb 25, 2018",2017/2018
55,Kings,Qalandars,Kings,27 runs,Dubai (DSC),"Feb 26, 2018",2017/2018
56,United,Gladiators,Gladiators,6 wickets,Sharjah,"Feb 28, 2018",2017/2018
57,Gladiators,Zalmi,Zalmi,5 wickets,Sharjah,"Mar 1, 2018",2017/2018
58,Sultans,Kings,no result,,Sharjah,"Mar 2, 2018",2017/2018
59,Qalandars,United,tied,,Sharjah,"Mar 2, 2018",2017/2018
60,Sultans,Gladiators,Sultans,9 wickets,Sharjah,"Mar 3, 2018",2017/2018
61,Zalmi,Qalandars,Zalmi,10 wickets,Sharjah,"Mar 3, 2018",2017/2018
62,United,Kings,United,8 wickets,Sharjah,"Mar 4, 2018",2017/2018
63,Zalmi,Sultans,Sultans,19 runs,Dubai (DSC),"Mar 6, 2018",2017/2018
64,Sultans,Gladiators,Gladiators,2 wickets,Dubai (DSC),"Mar 7, 2018",2017/2018
65,United,Qalandars,United,6 wickets,Dubai (DSC),"Mar 8, 2018",2017/2018
66,Kings,Gladiators,Gladiators,67 runs,Dubai (DSC),"Mar 8, 2018",2017/2018
67,Sultans,Qalandars,Qalandars,6 wickets,Dubai (DSC),"Mar 9, 2018",2017/2018
68,Zalmi,United,United,26 runs,Dubai (DSC),"Mar 9, 2018",2017/2018
69,Sultans,Kings,Kings,63 runs,Dubai (DSC),"Mar 10, 2018",2017/2018
70,Zalmi,Gladiators,Gladiators,6 wickets,Dubai (DSC),"Mar 10, 2018",2017/2018
71,Kings,Qalandars,tied,,Dubai (DSC),"Mar 11, 2018",2017/2018
72,Sultans,United,United,33 runs,Sharjah,"Mar 13, 2018",2017/2018
