,season,team,name,role,age,batting,bowling
0,2015/2016,Islamabad United,Amad Butt,Bowling Allrounder,20y 226d,Right hand Bat,Right arm Fast
1,2015/2016,Islamabad United,Babar Azam,Batter,21y 68d,Right hand Bat,Right arm Offbreak
2,2015/2016,Islamabad United,Samuel Badree,Bowler,34y 288d,Right hand Bat,Legbreak
3,2015/2016,Islamabad United,Sam Billings†,Wicketkeeper Batter,24y 190d,Right hand Bat,
4,2015/2016,Islamabad United,Brad Haddin†,Wicketkeeper Batter,38y 60d,Right hand Bat,
5,2015/2016,Islamabad United,Imran Khalid,,32y 358d,Left hand Bat,Slow Left arm Orthodox
6,2015/2016,Islamabad United,Kamran Ghulam,Allrounder,20y 73d,Right hand Bat,Slow Left arm Orthodox
7,2015/2016,Islamabad United,Khalid Latif,Top order Batter,30y 48d,Right hand Bat,Right arm Offbreak
8,2015/2016,Islamabad United,Misbah-ul-Haq,Middle order Batter,41y 208d,Right hand Bat,Legbreak
9,2015/2016,Islamabad United,Mohammad Irfan,Bowler,33y 199d,Right hand Bat,Left arm Fast
10,2015/2016,Islamabad United,Mohammad Sami,Bowler,34y 301d,Right hand Bat,Right arm Fast
11,2015/2016,Islamabad United,Rumman Raees,Bowler,24y 65d,Right hand Bat,Left arm Medium fast
12,2015/2016,Islamabad United,Andre Russell,Allrounder,27y 237d,Right hand Bat,Right arm Fast
13,2015/2016,Islamabad United,Sharjeel Khan,Opening Batter,26y 130d,Left hand Bat,Legbreak
14,2015/2016,Islamabad United,Umar Amin,Top order Batter,26y 67d,Left hand Bat,Right arm Medium
15,2015/2016,Islamabad United,Shane Watson,Allrounder,34y 188d,Right hand Bat,Right arm Fast medium
16,2015/2016,Karachi Kings,Shoaib Malik(c),Allrounder,33y 324d,Right hand Bat,Right arm Offbreak
17,2015/2016,Karachi Kings,Bilawal Bhatti,Bowler,24y 96d,Right hand Bat,Right arm Medium fast
18,2015/2016,Karachi Kings,Ravi Bopara,Batting Allrounder,30y 232d,Right hand Bat,Right arm Medium
19,2015/2016,Karachi Kings,Iftikhar Ahmed,Middle order Batter,25y 110d,Right hand Bat,Right arm Offbreak
20,2015/2016,Karachi Kings,Imad Wasim,Allrounder,27y 4d,Left hand Bat,Slow Left arm Orthodox
21,2015/2016,Karachi Kings,Mir Hamza,Bowler,23y 103d,Left hand Bat,Left arm Medium
22,2015/2016,Karachi Kings,Mohammad Amir,Bowler,23y 253d,Left hand Bat,Left arm Fast medium
23,2015/2016,Karachi Kings,Mushfiqur Rahim†,Wicketkeeper Batter,28y 227d,Right hand Bat,
24,2015/2016,Karachi Kings,Nauman Anwar,Opening Batter,20y 71d,Right hand Bat,Right arm Medium fast
25,2015/2016,Karachi Kings,Saifullah Bangash†,Wicketkeeper Batter,20y 276d,Right hand Bat,
26,2015/2016,Karachi Kings,Shakib Al Hasan,Allrounder,28y 273d,Left hand Bat,Slow Left arm Orthodox
27,2015/2016,Karachi Kings,Lendl Simmons,Top order Batter,30y 331d,Right hand Bat,Right arm Medium fast
28,2015/2016,Karachi Kings,Sohail Khan,Bowler,31y 291d,Right hand Bat,Right arm Fast medium
29,2015/2016,Karachi Kings,Sohail Tanvir,Bowler,31y 10d,Left hand Bat,Left arm Medium fast
30,2015/2016,Karachi Kings,Usama Mir,Bowler,19y 364d,Right hand Bat,Legbreak
31,2015/2016,Karachi Kings,James Vince,Batter,24y 283d,Right hand Bat,Right arm Medium
32,2015/2016,Lahore Qalandars,Adnan Rasool,,34y 233d,Right hand Bat,Right arm Offbreak
33,2015/2016,Lahore Qalandars,Azhar Ali,Top order Batter,30y 304d,Right hand Bat,Legbreak
34,2015/2016,Lahore Qalandars,Dwayne Bravo,Allrounder,32y 74d,Right hand Bat,Right arm Medium
35,2015/2016,Lahore Qalandars,Kevon Cooper,Allrounder,26y 307d,Right hand Bat,Right arm Medium
36,2015/2016,Lahore Qalandars,Cameron Delport,Top order Batter,26y 222d,Left hand Bat,Right arm Medium
37,2015/2016,Lahore Qalandars,Chris Gayle,Allrounder,36y 90d,Left hand Bat,Right arm Offbreak
38,2015/2016,Lahore Qalandars,Hammad Azam,Middle order Batter,24y 279d,Right hand Bat,Right arm Medium
39,2015/2016,Lahore Qalandars,Mohammad Rizwan†,Wicketkeeper Batter,23y 202d,Right hand Bat,
40,2015/2016,Lahore Qalandars,Mustafizur Rahman,Bowler,20y 105d,Left hand Bat,Left arm Fast medium
41,2015/2016,Lahore Qalandars,Naved Yasin,Middle order Batter,28y 158d,Left hand Bat,Slow Left arm Orthodox
42,2015/2016,Lahore Qalandars,Sohaib Maqsood,Middle order Batter,28y 249d,Right hand Bat,Right arm Offbreak
43,2015/2016,Lahore Qalandars,Umar Akmal,Middle order Batter,25y 208d,Right hand Bat,Right arm Offbreak
44,2015/2016,Lahore Qalandars,Yasir Shah,Bowler,29y 232d,Right hand Bat,Legbreak Googly
45,2015/2016,Lahore Qalandars,Zafar Gohar,Bowler,20y 322d,Left hand Bat,Slow Left arm Orthodox
46,2015/2016,Lahore Qalandars,Zia-ul-Haq,,21y 9d,Right hand Bat,Left arm Fast medium
47,2015/2016,Lahore Qalandars,Zohaib Khan,Allrounder,31y 275d,Right hand Bat,Slow Left arm Orthodox
48,2015/2016,Peshawar Zalmi,Aamer Yamin,Allrounder,25y 179d,Right hand Bat,Right arm Medium
49,2015/2016,Peshawar Zalmi,Abdur Rehman,Bowler,35y 296d,Left hand Bat,Slow Left arm Orthodox
50,2015/2016,Peshawar Zalmi,Jim Allenby,Allrounder,33y 101d,Right hand Bat,Right arm Medium
51,2015/2016,Peshawar Zalmi,Jonny Bairstow†,Wicketkeeper Batter,26y 87d,Right hand Bat,Right arm Medium
52,2015/2016,Peshawar Zalmi,Hasan Ali,Bowler,21y 173d,Right hand Bat,Right arm Medium fast
53,2015/2016,Peshawar Zalmi,Imran Khan,Bowler,27y 161d,Right hand Bat,Left arm Medium fast
54,2015/2016,Peshawar Zalmi,Junaid Khan,Bowler,25y 363d,Right hand Bat,Left arm Fast
55,2015/2016,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,33y 343d,Right hand Bat,
56,2015/2016,Peshawar Zalmi,Dawid Malan,Top order Batter,28y 110d,Left hand Bat,Legbreak
57,2015/2016,Peshawar Zalmi,Mohammad Asghar,Bowler,16y 359d,Right hand Bat,Slow Left arm Orthodox
58,2015/2016,Peshawar Zalmi,Mohammad Hafeez,Allrounder,35y 66d,Right hand Bat,Right arm Offbreak
59,2015/2016,Peshawar Zalmi,Musadiq Ahmed,,26y 241d,Right hand Bat,
60,2015/2016,Peshawar Zalmi,Daren Sammy,Allrounder,32y 2d,Right hand Bat,Right arm Medium
61,2015/2016,Peshawar Zalmi,Shahid Afridi,Allrounder,35y 296d,Right hand Bat,Legbreak Googly
62,2015/2016,Peshawar Zalmi,Shahid Yousaf,Batter,29y 190d,Right hand Bat,Right arm Medium fast
63,2015/2016,Peshawar Zalmi,Shaun Tait,Bowler,32y 303d,Right hand Bat,Right arm Fast
64,2015/2016,Peshawar Zalmi,Tamim Iqbal,Opening Batter,26y 277d,Left hand Bat,
65,2015/2016,Peshawar Zalmi,Wahab Riaz,Bowler,30y 177d,Right hand Bat,Left arm Fast
66,2015/2016,Peshawar Zalmi,Chris Jordan,Bowler,27y 79d,Right hand Bat,Right arm Fast medium
67,2015/2016,Quetta Gladiators,Sarfaraz Ahmed† (c),Wicketkeeper Batter,28y 214d,Right hand Bat,Right arm Offbreak
68,2015/2016,Quetta Gladiators,Ahmed Shehzad,Opening Batter,24y 29d,Right hand Bat,Legbreak
69,2015/2016,Quetta Gladiators,Akbar-ur-Rehman,Allrounder,32y 99d,Right hand Bat,Legbreak Googly
70,2015/2016,Quetta Gladiators,Anwar Ali,Bowler,28y 27d,Right hand Bat,Right arm Medium fast
71,2015/2016,Quetta Gladiators,Asad Shafiq,Middle order Batter,29y 328d,Right hand Bat,Right arm Offbreak
72,2015/2016,Quetta Gladiators,Bilal Asif,Allrounder,30y 89d,Right hand Bat,Right arm Offbreak
73,2015/2016,Quetta Gladiators,Bismillah Khan†,Wicketkeeper Batter,25y 296d,Right hand Bat,
74,2015/2016,Quetta Gladiators,Elton Chigumbura,Allrounder,29y 283d,Right hand Bat,Right arm Fast medium
75,2015/2016,Quetta Gladiators,Mohammad Nabi,Allrounder,30y 355d,Right hand Bat,Right arm Offbreak
76,2015/2016,Quetta Gladiators,Mohammad Nawaz,Allrounder,21y 276d,Left hand Bat,Slow Left arm Orthodox
77,2015/2016,Quetta Gladiators,Kevin Pietersen,Top order Batter,35y 178d,Right hand Bat,Right arm Offbreak
78,2015/2016,Quetta Gladiators,Saad Nasim,Allrounder,25y 237d,Right hand Bat,Legbreak
79,2015/2016,Quetta Gladiators,Umar Gul,Bowler,33y 68d,Right hand Bat,Right arm Fast medium
80,2015/2016,Quetta Gladiators,Luke Wright,Top order Batter,30y 290d,Right hand Bat,Right arm Medium
81,2015/2016,Quetta Gladiators,Zulfiqar Babar,Bowler,37y 12d,Right hand Bat,Slow Left arm Orthodox
82,2015/2016,Quetta Gladiators,Jason Holder,Bowling Allrounder,24y 47d,Right hand Bat,Right arm Medium fast
0,2016/2017,Islamabad United,Misbah-ul-Haq(c),Middle order Batter,42y 240d,Right hand Bat,Legbreak
1,2016/2017,Islamabad United,Amad Butt,Bowling Allrounder,21y 258d,Right hand Bat,Right arm Fast
2,2016/2017,Islamabad United,Asif Ali,Middle order Batter,25y 114d,Right hand Bat,Right arm Offbreak
3,2016/2017,Islamabad United,Samuel Badree,Bowler,35y 320d,Right hand Bat,Legbreak
