,team,matches,win,loss,tie,no_result,points,nrr,for,against,season,rank
0,Multan Sultans,10,9,1,0,0,18.0,1.253,1792/194.5,1589/200.0,2021/2022,1
1,Lahore Qalandars,10,6,4,0,0,12.0,0.765,1764/197.0,1631/199.1,2021/2022,2
2,Peshawar Zalmi,10,6,4,0,0,12.0,-0.340,1749/199.4,1782/195.5,2021/2022,3
3,Islamabad United,10,4,6,0,0,8.0,-0.069,1763/195.5,1787/197.0,2021/2022,4
4,Quetta Gladiators,10,4,6,0,0,8.0,-0.708,1665/194.5,1826/197.2,2021/2022,5
5,Karachi Kings,10,1,9,0,0,2.0,-0.891,1500/200.0,1618/192.5,2021/2022,6
6,Islamabad United,10,8,2,0,0,16.0,0.859,1643/183.3,1596/197.1,2020/2021,1
7,Multan Sultans,10,5,5,0,0,10.0,1.050,1695/192.5,1521/196.3,2020/2021,2
8,Peshawar Zalmi,10,5,5,0,0,10.0,0.586,1713/186.4,1671/194.3,2020/2021,3
9,Karachi Kings,10,5,5,0,0,10.0,-0.115,1711/192.1,1697/188.1,2020/2021,4
10,Lahore Qalandars,10,5,5,0,0,10.0,-0.589,1504/196.1,1621/196.2,2020/2021,5
11,Quetta Gladiators,10,2,8,0,0,4.0,-1.786,1491/200.0,1651/178.4,2020/2021,6
12,Multan Sultans,10,6,2,0,2,14.0,1.031,1249/137.4,1162/144.3,2019/2020,1
13,Karachi Kings,10,5,4,0,1,11.0,-0.190,1455/173.2,1498/174.3,2019/2020,2
14,Lahore Qalandars,10,5,5,0,0,10.0,-0.072,1592/181.4,1636/185.1,2019/2020,3
15,Peshawar Zalmi,10,4,5,0,1,9.0,-0.055,1343/154.3,1302/148.5,2019/2020,4
16,Quetta Gladiators,10,4,5,0,1,9.0,-0.722,1399/168.3,1492/165.2,2019/2020,5
17,Islamabad United,10,3,6,0,1,7.0,0.185,1389/154.3,1337/151.5,2019/2020,6
18,Peshawar Zalmi,10,7,3,0,0,14.0,0.828,1527/189.0,1431/197.2,2018/2019,1
19,Quetta Gladiators,10,7,3,0,0,14.0,0.376,1580/193.1,1523/195.1,2018/2019,2
20,Islamabad United,10,5,5,0,0,10.0,0.127,1605/194.5,1583/195.1,2018/2019,3
21,Karachi Kings,10,5,5,0,0,10.0,-0.673,1493/197.1,1612/195.3,2018/2019,4
22,Multan Sultans,10,3,7,0,0,6.0,0.173,1481/189.2,1498/195.5,2018/2019,5
23,Lahore Qalandars,10,3,7,0,0,6.0,-0.837,1427/196.3,1466/181.0,2018/2019,6
24,Islamabad United,10,7,3,0,0,14.0,0.296,1474/191.0,1441/194.1,2017/2018,1
25,Karachi Kings,10,5,4,0,1,11.0,0.028,1322/176.4,1322/177.2,2017/2018,2
26,Peshawar Zalmi,10,5,5,0,0,10.0,0.464,1539/191.2,1502/198.1,2017/2018,3
27,Quetta Gladiators,10,5,5,0,0,10.0,0.312,1438/190.2,1410/194.4,2017/2018,4
28,Multan Sultans,10,4,5,0,1,9.0,-0.191,1278/175.5,1314/176.1,2017/2018,5
29,Lahore Qalandars,10,3,7,0,0,6.0,-0.931,1407/198.4,1469/183.2,2017/2018,6
30,Peshawar Zalmi,8,4,3,0,1,9.0,0.309,948/132.5,940/137.4,2016/2017,1
31,Quetta Gladiators,8,4,3,0,1,9.0,0.166,1096/137.0,1085/138.3,2016/2017,2
32,Karachi Kings,8,4,4,0,0,8.0,-0.098,1137/144.3,1126/141.2,2016/2017,3
33,Islamabad United,8,4,4,0,0,8.0,-0.139,1119/141.3,1128/140.1,2016/2017,4
34,Lahore Qalandars,8,3,5,0,0,6.0,-0.223,1176/157.4,1197/155.5,2016/2017,5
35,Peshawar Zalmi,8,6,2,0,0,12.0,0.573,1181/151.4,1153/159.5,2015/2016,1
36,Quetta Gladiators,8,6,2,0,0,12.0,0.216,1132/148.1,1178/158.4,2015/2016,2
37,Islamabad United,8,4,4,0,0,8.0,-0.282,1101/153.4,1122/150.4,2015/2016,3
38,Karachi Kings,8,2,6,0,0,4.0,-0.036,1171/155.5,1159/153.3,2015/2016,4
39,Lahore Qalandars,8,2,6,0,0,4.0,-0.536,1268/160.0,1241/146.4,2015/2016,5
